Feature Name,Mean Attention,Std Attention
PTGENDER,0.03363357,0.0413964
MOCA,0.018323144,0.020891111
RMT_ecogpt12,0.016000638,0.029133828
AVTOT1,0.0100143235,0.017000694
ST12SV,0.0050672926,0.007742645
PTRTYR,0.004973049,0.0074287984
GDTOTAL,0.004531962,0.0063351826
ST90SA,0.004391423,0.005936255
RMT_ecogsp2,0.0038053293,0.0051902393
RMT_ecogpt1,0.0027948099,0.002672383
ST104SA,0.0025385884,0.002465179
ST72CV,0.002450122,0.0023087931
RMT_ecogpt_Duration,0.002063854,0.0009854726
TRABSCOR,0.0020582331,0.00095772865
RMT_ecogpt10,0.0019965845,0.0011290625
ST24CV,0.001953736,0.001151692
ST129TA,0.0019108193,0.0008704104
ST94SA,0.0019051007,0.00061257725
RMT_ecogpt4,0.0018856598,0.0005214188
TOTSCORE,0.0018831488,0.0005785338
