before epoch 0, AUC: 0.4048797736916549 ACC: 0.2065063649222065
before epoch 1, AUC: 0.7167609618104667 ACC: 0.6223479490806223
before epoch 2, AUC: 0.8193069306930694 ACC: 0.759075907590759
before epoch 3, AUC: 0.8854314002828855 ACC: 0.8472418670438473
before epoch 4, AUC: 0.8992220650636492 ACC: 0.8656294200848657
before epoch 5, AUC: 0.9055869872701556 ACC: 0.8741159830268741
before epoch 6, AUC: 0.8376944837340876 ACC: 0.7835926449787836
before epoch 7, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 8, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 9, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 10, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 11, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 12, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 13, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 14, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 15, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 16, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 17, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 18, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 19, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 20, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 21, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 22, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 23, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 24, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 25, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 26, AUC: 0.5297029702970297 ACC: 0.37293729372937295
