before epoch 0, AUC: 0.5753182461103253 ACC: 0.43375766148043376
before epoch 1, AUC: 0.7903111739745403 ACC: 0.7204148986327205
before epoch 2, AUC: 0.8345120226308345 ACC: 0.7793493635077794
before epoch 3, AUC: 0.7652050919377652 ACC: 0.686940122583687
before epoch 4, AUC: 0.911951909476662 ACC: 0.8826025459688827
before epoch 5, AUC: 0.9147807637906649 ACC: 0.8863743517208864
before epoch 6, AUC: 0.905940594059406 ACC: 0.8745874587458746
before epoch 7, AUC: 0.9154879773691654 ACC: 0.8873173031588873
before epoch 8, AUC: 0.9130127298444131 ACC: 0.884016973125884
before epoch 9, AUC: 0.5926449787835926 ACC: 0.45685997171145687
before epoch 10, AUC: 0.6548797736916548 ACC: 0.5398396982555398
before epoch 11, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 12, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 13, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 14, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 15, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 16, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 17, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 18, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 19, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 20, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 21, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 22, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 23, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 24, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 25, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 26, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 27, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 28, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 29, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 30, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 31, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 32, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 33, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 34, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 35, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 36, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 37, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 38, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 39, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 40, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 41, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 42, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 43, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 44, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 45, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 46, AUC: 0.5297029702970297 ACC: 0.37293729372937295
before epoch 47, AUC: 0.5297029702970297 ACC: 0.37293729372937295
