before epoch 0, AUC: 0.5934999999999999 ACC: 0.458
before epoch 1, AUC: 0.796 ACC: 0.7280000000000001
before epoch 2, AUC: 0.8585 ACC: 0.8113333333333334
before epoch 3, AUC: 0.8719999999999999 ACC: 0.8293333333333333
before epoch 4, AUC: 0.9055 ACC: 0.874
before epoch 5, AUC: 0.9145 ACC: 0.8859999999999999
before epoch 6, AUC: 0.914 ACC: 0.8853333333333333
before epoch 7, AUC: 0.9215 ACC: 0.8953333333333333
before epoch 8, AUC: 0.897 ACC: 0.8626666666666667
before epoch 9, AUC: 0.8425 ACC: 0.7899999999999999
before epoch 10, AUC: 0.908 ACC: 0.8773333333333333
before epoch 11, AUC: 0.8915 ACC: 0.8553333333333333
before epoch 12, AUC: 0.9095000000000001 ACC: 0.8793333333333333
before epoch 13, AUC: 0.9104999999999999 ACC: 0.8806666666666668
before epoch 14, AUC: 0.9025000000000001 ACC: 0.8700000000000001
before epoch 15, AUC: 0.9104999999999999 ACC: 0.8806666666666667
before epoch 16, AUC: 0.893 ACC: 0.8573333333333334
before epoch 17, AUC: 0.9055 ACC: 0.874
before epoch 18, AUC: 0.898 ACC: 0.8640000000000001
